,Name,Card Type,Attribute,Type of Spell and Trap,Type,Level/Rank/Link,Abilities/Other,Cid,Release Name,Release Date,Release Link
73,Fiendsmith's Sequence,Link,LIGHT,,Fiend,2,,20226,INFINITE FORBIDDEN,2024/09/07,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001385000&rp=99999&request_locale=ae
74,Ragnaraika Selene Snapper,Link,WATER,,Reptile,3,,20227,INFINITE FORBIDDEN,2024/09/07,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001385000&rp=99999&request_locale=ae
75,"Varar, Vaalmonican Concord",Link,WATER,,Spellcaster,2,,20228,INFINITE FORBIDDEN,2024/09/07,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001385000&rp=99999&request_locale=ae
76,Madolche Mini Meowcaroons,Link,EARTH,,Beast,3,,20229,INFINITE FORBIDDEN,2024/09/07,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001385000&rp=99999&request_locale=ae
77,Cosmic Tree Irmistil,Link,EARTH,,Plant,5,,20230,INFINITE FORBIDDEN,2024/09/07,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001385000&rp=99999&request_locale=ae
78,Silhouhatte Rabbit,Link,LIGHT,,Illusion,2,,20231,INFINITE FORBIDDEN,2024/09/07,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001385000&rp=99999&request_locale=ae
79,Millennium Ankh,Spell,,Normal Spell,,,,20232,INFINITE FORBIDDEN,2024/09/07,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001385000&rp=99999&request_locale=ae
80,Wedju Temple,Spell,,Field Spell,,,,20233,INFINITE FORBIDDEN,2024/09/07,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001385000&rp=99999&request_locale=ae
81,Obliterate!!! Blaze,Spell,,Quick-play Spell,,,,20234,INFINITE FORBIDDEN,2024/09/07,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001385000&rp=99999&request_locale=ae
82,Mansion of the Dreadful Dolls,Spell,,Field Spell,,,,20235,INFINITE FORBIDDEN,2024/09/07,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001385000&rp=99999&request_locale=ae
83,Dragon's Light and Darkness,Spell,,Quick-play Spell,,,,20236,INFINITE FORBIDDEN,2024/09/07,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001385000&rp=99999&request_locale=ae
84,Tales of the White Forest,Spell,,Normal Spell,,,,20237,INFINITE FORBIDDEN,2024/09/07,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001385000&rp=99999&request_locale=ae
85,Beware the White Forest,Spell,,Normal Spell,,,,20238,INFINITE FORBIDDEN,2024/09/07,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001385000&rp=99999&request_locale=ae
86,Susurrus of the Sinful Spoils,Spell,,Quick-play Spell,,,,20239,INFINITE FORBIDDEN,2024/09/07,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001385000&rp=99999&request_locale=ae
87,Fiendsmith's Tract,Spell,,Normal Spell,,,,20240,INFINITE FORBIDDEN,2024/09/07,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001385000&rp=99999&request_locale=ae
88,Fiendsmith's Sanct,Spell,,Quick-play Spell,,,,20241,INFINITE FORBIDDEN,2024/09/07,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001385000&rp=99999&request_locale=ae
89,Emblema Salvation,Spell,,Quick-play Spell,,,,20242,INFINITE FORBIDDEN,2024/09/07,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001385000&rp=99999&request_locale=ae
90,Vesper Girsu,Spell,,Quick-play Spell,,,,20243,INFINITE FORBIDDEN,2024/09/07,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001385000&rp=99999&request_locale=ae
91,Trap Gatherer,Spell,,Equip Spell,,,,20244,INFINITE FORBIDDEN,2024/09/07,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001385000&rp=99999&request_locale=ae
92,Interdimensional Matter Forwarder,Spell,,Continuous Spell,,,,20245,INFINITE FORBIDDEN,2024/09/07,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001385000&rp=99999&request_locale=ae
93,That's 10!,Spell,,Continuous Spell,,,,20246,INFINITE FORBIDDEN,2024/09/07,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001385000&rp=99999&request_locale=ae
94,Exxod Fires of Rage,Trap,,Normal Trap,,,,20247,INFINITE FORBIDDEN,2024/09/07,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001385000&rp=99999&request_locale=ae
95,Dark Magic Mirror Force,Trap,,Normal Trap,,,,20248,INFINITE FORBIDDEN,2024/09/07,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001385000&rp=99999&request_locale=ae
96,Service Puppet Play,Trap,,Normal Trap,,,,20249,INFINITE FORBIDDEN,2024/09/07,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001385000&rp=99999&request_locale=ae
97,Woes of the White Forest,Trap,,Normal Trap,,,,20250,INFINITE FORBIDDEN,2024/09/07,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001385000&rp=99999&request_locale=ae
98,Fiendsmith in Paradise,Trap,,Normal Trap,,,,20251,INFINITE FORBIDDEN,2024/09/07,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001385000&rp=99999&request_locale=ae
99,Sangen Kaiho,Trap,,Normal Trap,,,,20252,INFINITE FORBIDDEN,2024/09/07,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001385000&rp=99999&request_locale=ae
100,Guardian of the Voiceless Voice,Trap,,Continuous Trap,,,,20253,INFINITE FORBIDDEN,2024/09/07,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001385000&rp=99999&request_locale=ae
101,Vaalmonica Creation,Trap,,Continuous Trap,,,,20254,INFINITE FORBIDDEN,2024/09/07,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001385000&rp=99999&request_locale=ae
102,Meteoroa Drytron,Trap,,Continuous Trap,,,,20255,INFINITE FORBIDDEN,2024/09/07,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001385000&rp=99999&request_locale=ae
103,Madolche Dessert,Trap,,Normal Trap,,,,20256,INFINITE FORBIDDEN,2024/09/07,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001385000&rp=99999&request_locale=ae
104,Dominus Purge,Trap,,Normal Trap,,,,20257,INFINITE FORBIDDEN,2024/09/07,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001385000&rp=99999&request_locale=ae
105,Silhouhatte Trick,Trap,,Continuous Trap,,,,20258,INFINITE FORBIDDEN,2024/09/07,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001385000&rp=99999&request_locale=ae
106,Three in One,Trap,,Normal Trap,,,,20259,INFINITE FORBIDDEN,2024/09/07,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001385000&rp=99999&request_locale=ae
107,The Legendary Exodia Incarnate,Effect,DARK,,Spellcaster,10,,5012,INFINITE FORBIDDEN,2024/09/07,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001385000&rp=99999&request_locale=ae
108,Magical Musketeer Caspar,Effect,LIGHT,,Fiend,3,,13315,INFINITE FORBIDDEN,2024/09/07,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001385000&rp=99999&request_locale=ae
109,Magical Musketeer Doc,Effect,LIGHT,,Fiend,3,,13316,INFINITE FORBIDDEN,2024/09/07,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001385000&rp=99999&request_locale=ae
110,Magical Musketeer Kidbrave,Effect,LIGHT,,Fiend,3,,13317,INFINITE FORBIDDEN,2024/09/07,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001385000&rp=99999&request_locale=ae
111,Magical Musketeer Starfire,Effect,LIGHT,,Fiend,4,,13318,INFINITE FORBIDDEN,2024/09/07,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001385000&rp=99999&request_locale=ae
112,Magical Musketeer Calamity,Effect,LIGHT,,Fiend,4,,13319,INFINITE FORBIDDEN,2024/09/07,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001385000&rp=99999&request_locale=ae
113,Magical Musketeer Wild,Effect,LIGHT,,Fiend,4,,13320,INFINITE FORBIDDEN,2024/09/07,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001385000&rp=99999&request_locale=ae
114,Magical Musket Mastermind Zakiel,Effect,LIGHT,,Fiend,8,,13321,INFINITE FORBIDDEN,2024/09/07,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001385000&rp=99999&request_locale=ae
115,Ghost Ship,Effect,LIGHT,,Fiend,5,,9652,INFINITE FORBIDDEN,2024/09/07,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001385000&rp=99999&request_locale=ae
